country,type_aggregate,area_ha
England,Ancient & Mostly Natural Woodland,215032.93869197025
England,"Other (unknown quality, pasture, etc.)",137.83951342278706
England,Plantation on Ancient Woodland Site,149743.5373188448
Scotland,Ancient & Mostly Natural Woodland,311153.49009487
Scotland,"Other (unknown quality, pasture, etc.)",21771.47601107
Scotland,Plantation on Ancient Woodland Site,39671.78891373
Scotland,Semi-Natural Woodland,13382.94913535
Wales,Ancient & Mostly Natural Woodland,41756.74227385
Wales,"Other (unknown quality, pasture, etc.)",2833.72997501
Wales,Plantation on Ancient Woodland Site,26970.27916465
Wales,Semi-Natural Woodland,23289.18842089
