type_source,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Assumed woodland,143120.44634106458,129692.0562050211,140836.6499275167,149942.06662736085,153623.3389358025,156456.79644165665,166559.76235441683,181921.05526405812,194309.9394442342,202532.27562541707,222500.58974848292
Agriculture land,3805.3932798808273,3804.534478920992,3854.55535425585,3861.6433972706664,4006.16219715355,4016.6488932075,4020.5941725744037,4066.53393904117,4066.53393811313,4068.68807250263,4066.8374799490794
Bare area,14558.007535527615,14537.819743814744,14558.566359517923,14474.45444788596,14225.339062829076,13958.496854418423,13868.201691332328,13860.608210047636,13860.709433920863,13861.258810215364,13856.68044812691
Grassland,47760.54752835159,48080.63257168007,48126.860406697255,48003.2119306576,47379.78705112206,46806.836510955676,46669.30068630854,46577.543014567746,46548.864617528045,46550.1435007844,46547.556740599546
Road,1725.0123685916928,1742.9988356071008,1889.0687137866423,1880.5045223837892,2005.000782146596,2031.650404491545,2104.894941131379,2105.367092157615,2106.65107721827,2113.247231745269,2113.247235014069
Other vegetation,8019.439435964149,9000.886452332941,9316.218390966655,9274.364602412223,9204.423256470302,9491.882497530412,9696.879549412226,9844.433663108113,9850.237898738258,9850.753448657299,9870.45708906735
Open water,3390.009725921432,3375.8849000848963,3402.607980111002,3395.431738813102,3415.026677926025,3433.173121344575,3443.023855863744,3474.685696258917,3467.809333505621,3469.601391098221,3473.316123915022
Broadleaved,1094110.8281126227,1094961.1650819746,1101904.1131904079,1102579.9328928948,1107659.9335446202,1115202.4287850494,1115276.9343254564,1119509.140741085,1116458.9306460696,1114646.1527302684,1113022.0924187612
Conifer,1255338.773604644,1191354.4029250166,1128150.0437784723,1094937.4823617814,1056156.316973247,1051863.2823714954,1023579.7712688856,992993.2780679861,940778.9903058541,917167.4635108872,881290.7450577642
Felled,139192.0325409526,203926.41844025732,260134.8270246394,288091.0586309007,321447.9913053395,324539.55308898335,354210.17144960386,387469.00066443783,445136.6860210763,472463.39671265375,500980.0041645419
Ground prep,46584.17616444941,54308.74197695722,53245.986225254164,54489.55056564097,51821.9217783347,50005.11775703343,50212.07482765879,52005.39283001815,53201.207560216215,53193.76992573327,54350.54949686607
Low density,7808.484827122299,8932.69283965117,9404.346852563694,9541.339370362892,9556.005669266684,9504.722271707826,9549.41630944984,9580.21302928234,9556.97277600498,9553.74533682832,9556.543707267112
Mixed mainly broadleaved,45680.79123155955,45783.88221945566,47519.8874637951,47536.00770304033,48784.069383997936,49857.38210750643,50055.04217839636,50244.259442113864,50120.31076162815,50118.2292462824,50138.51420844904
Mixed mainly conifer,49028.5249571699,48986.63744941646,50335.7331770023,50160.959760685764,50453.67216848793,50495.18533649982,50117.5510914045,49879.62943647793,49475.60696798908,49411.82030338593,49204.30415546203
Young trees,212310.64912490835,224119.26766089743,224262.76068059873,228139.43129346363,223222.81894378524,215159.99731032256,213780.0016159865,214049.70014918086,212675.93658764428,211547.96428194904,212026.84226386118
Shrub,9608.65317484161,9688.81252987676,9625.90855746482,9656.407189924,9592.872691145018,9278.833473729315,9230.71375180609,9164.8347132993,9137.419037441074,9120.359501040224,9110.664199100023
Urban,1169.1418141772983,1182.7551667654952,1227.5458439615481,1143.643019280274,1248.80673561721,1329.3698973451599,1358.6236220069368,1458.74282226376,1462.8138639144001,1561.4174377169481,1497.060070794751
Cloud \ shadow,50.92219975105045,52.9155706549507,52.91557652090067,47.70116796790049,47.701162102000005,4.1170675352,4.1170675352,4.1170675352,4.1170675352,4.1170675352,4.1170675352
River,149.1748872706983,148.61485957429812,148.61485908679822,119.98871154759699,130.961327307549,134.53512664234898,136.645922351996,136.90824526364898,136.908245703399,136.908245897099,136.90824685884897
Coppice,2305.579209233753,2370.0122319774055,2505.1959064049547,2541.700471860954,2951.9646970823,3371.3056075761,3167.5439966088998,2970.832743299,2793.381793316851,2644.012238029351,2593.986345307901
Powerline,43.904498389095096,42.05995438909586,48.51742555439667,48.51740787624689,80.664553515047,81.23880487539701,81.23880433087999,81.23880531954701,80.18615597874701,,80.71021659119701
Quarry,462.92801259139804,460.3254169356977,629.0408560541492,635.3448033165985,656.19288958025,656.1365109326009,663.142803176433,667.2106206108001,670.12273295345,673.1468032469501,674.6875030066999
Coppice with standards,124.7944505828984,124.79445007179841,123.53215980104835,123.53215980104835,302.56395740330004,292.1259247026,290.48697840623294,281.71297117225004,272.78798650609997,269.3099489005499,269.30994890054995
Uncertain,9.33168669405142,9.415710832701194,216.29855908395461,352.4747217485046,312.08956203664997,186.87984260455,186.879841905105,186.87984190494998,186.2180059644,186.2180069739,186.2180066739
Windfarm,34.63675787555038,33.01124904475008,52.37628293985131,66.7508067313004,76.100704175139,81.272261987939,83.01448364226802,83.01636130118901,83.01636329164901,106.55015844414899,107.13574744479901
Windblow,,,3626.3216339837954,4435.798162407901,10479.709573245653,13881.500392069749,14275.458691957983,13519.80953184615,12554.082500452381,11655.177513966752,21767.31491247737
Failed,,,56.78280061715113,96.93034579995023,545.5763175117447,1398.654802880444,1464.7361242154884,1509.934374640894,1513.351906591394,1516.305913732594,1514.700850421444
